"","regspp","region","spp","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"23","AFSC_Aleutians_Gorgonocephaluseucnemis","AFSC_Aleutians","Gorgonocephaluseucnemis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-172.425114687332,NA,NA,-173.574483948293,NA,NA,NA,NA,-180.324300203802,NA,NA,-175.1726865081,NA,NA,-177.775653716699,NA,NA,-175.136556929472,NA,-176.690413548432,NA,-175.642396558024,NA,-172.813265835323,NA,NA,NA,-177.344082048311,NA
"24","AFSC_Aleutians_Gymnocanthusgaleatus","AFSC_Aleutians","Gymnocanthusgaleatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-184.762666577067,NA,NA,-169.947924724207,NA,NA,NA,NA,-183.113682707732,NA,NA,-183.05082206966,NA,NA,-185.424030325381,NA,NA,-178.734194006638,NA,-181.66926209333,NA,-182.639937783942,NA,-181.516938864466,NA,NA,NA,-183.622307463259,NA
"25","AFSC_Aleutians_Hemilepidotusjordani","AFSC_Aleutians","Hemilepidotusjordani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-180.290348793695,NA,NA,-174.302717410123,NA,NA,NA,NA,-172.799764938419,NA,NA,-173.357583245349,NA,NA,-176.512510756916,NA,NA,-174.410470170083,NA,-173.916523121533,NA,-174.379924551384,NA,-174.369759134219,NA,NA,NA,-173.79519126175,NA
"26","AFSC_Aleutians_Hemilepidotuszapus","AFSC_Aleutians","Hemilepidotuszapus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-171.575647678703,NA,NA,-175.477998784565,NA,NA,NA,NA,-179.953116597938,NA,NA,-179.200463192238,NA,NA,-175.138646323298,NA,NA,-176.859915765935,NA,-174.764826322104,NA,-179.120295907757,NA,-176.613938738461,NA,NA,NA,-175.921869947536,NA
"27","AFSC_Aleutians_Hemitripterusbolini","AFSC_Aleutians","Hemitripterusbolini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-172.78926334602,NA,NA,-173.300720102095,NA,NA,NA,NA,-173.593320844983,NA,NA,-175.944529371269,NA,NA,-175.912023050197,NA,NA,-175.961960386358,NA,-174.503065004121,NA,-178.166696199271,NA,-176.323075085606,NA,NA,NA,-179.329373431976,NA
"28","AFSC_Aleutians_Hexagrammosdecagrammus","AFSC_Aleutians","Hexagrammosdecagrammus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.71878554803,NA,NA,-174.19018328022,NA,NA,NA,NA,-172.564047079743,NA,NA,-172.460819174265,NA,NA,-172.520662877382,NA,NA,-166.61272969163,NA,-172.368255830875,NA,-169.531462823286,NA,-166.61272969163,NA,NA,NA,-173.519009277477,NA
"29","AFSC_Aleutians_Hippoglossoideselassodon","AFSC_Aleutians","Hippoglossoideselassodon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-178.199545503239,NA,NA,-177.446966523196,NA,NA,NA,NA,-177.748264338067,NA,NA,-173.045463811758,NA,NA,-172.976042520477,NA,NA,-174.041399395505,NA,-173.985514183916,NA,-175.017525497715,NA,-176.19066060576,NA,NA,NA,-177.56294485174,NA
"30","AFSC_Aleutians_Hippoglossusstenolepis","AFSC_Aleutians","Hippoglossusstenolepis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-174.299487754436,NA,NA,-175.767317191003,NA,NA,NA,NA,-175.524580884537,NA,NA,-174.790409034211,NA,NA,-175.123102992147,NA,NA,-175.941174498719,NA,-175.896705033746,NA,-174.123276491897,NA,-174.693429544889,NA,NA,NA,-174.167410625824,NA
"31","AFSC_Aleutians_Holothuroidea","AFSC_Aleutians","Holothuroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-169.466286095205,NA,NA,-183.198594327514,NA,NA,NA,NA,-185.650231433842,NA,NA,-178.161599172149,NA,NA,-172.480649562391,NA,NA,-180.600887329408,NA,-173.201314798578,NA,-179.514287566146,NA,-174.820031563959,NA,NA,NA,-181.221852777187,NA
"32","AFSC_Aleutians_Icelusspiniger","AFSC_Aleutians","Icelusspiniger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-186.888899716462,NA,NA,-183.934219696463,NA,NA,NA,NA,-178.706863806294,NA,NA,-184.519407321981,NA,NA,-181.904239140496,NA,NA,-178.918169493948,NA,-174.204894099377,NA,-180.243832321735,NA,-184.033862559524,NA,NA,NA,-184.033862559524,NA
