"regspp","region","spp","year","spp.centroid.lat","spp.centroid.lon","spp.centroid.depth"
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1963",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1964",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1965",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1966",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1967",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1968",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1969",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1970",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1971",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1972",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1973",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1974",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1975",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1976",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1977",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1978",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1979",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1980",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1981",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1982",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1983",52.71864925131,-186.572697371928,100.659763402088
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1984",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1985",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1986",53.9521643612335,-166.61272969163,80.4977973568282
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1987",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1988",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1989",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1990",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1991",51.912857189217,-180.626432712439,88.1445669259455
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1992",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1993",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1994",52.2573607943016,-178.385104978447,87.8526709512426
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1995",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1996",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1997",52.7246499838663,-186.371597667245,91.8866781193964
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1998",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","1999",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2000",52.717144011034,-186.44806503672,87.2826172905112
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2001",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2002",52.7183076990591,-186.447054364624,88.5406404036085
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2003",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2004",52.7131314536372,-186.415687283835,87.2673119878748
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2005",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2006",52.7192752995434,-186.638501107327,103.934537885809
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2007",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2008",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2009",NA,NA,NA
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2010",52.7171805145043,-186.448659085128,87.3203176676979
"AFSC_Aleutians_Ammodyteshexapterus","AFSC_Aleutians","Ammodyteshexapterus","2011",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1963",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1964",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1965",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1966",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1967",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1968",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1969",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1970",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1971",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1972",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1973",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1974",NA,NA,NA
